"id","tipo","ncm","nacionalfederal","importadofederal","estadual","municipal","versao"
"401","0","3075910","13.45","19.14","0.00","0.00","16.2.B"
"402","0","3075990","13.45","19.14","0.00","0.00","16.2.B"
"403","0","3076000","13.45","19.14","0.00","0.00","16.2.B"
"404","0","3077100","13.45","19.14","0.00","0.00","16.2.B"
"405","0","3077900","13.45","19.14","0.00","0.00","16.2.B"
"406","0","3078100","13.45","19.14","0.00","0.00","16.2.B"
"407","0","3078900","13.45","19.14","0.00","0.00","16.2.B"
"408","0","3079100","13.45","19.14","0.00","0.00","16.2.B"
"409","0","3079900","13.45","19.14","0.00","0.00","16.2.B"
"410","0","3081100","13.45","19.14","0.00","0.00","16.2.B"
"411","0","3081900","13.45","19.14","0.00","0.00","16.2.B"
"412","0","3082100","13.45","19.14","0.00","0.00","16.2.B"
"413","0","3082900","13.45","19.14","0.00","0.00","16.2.B"
"414","0","3083000","13.45","19.14","0.00","0.00","16.2.B"
"415","0","3089000","13.45","19.14","0.00","0.00","16.2.B"
"416","0","4011010","4.20","15.78","12.00","0.00","16.2.B"
"417","0","4011090","4.20","14.56","12.00","0.00","16.2.B"
"418","0","4012010","4.20","15.78","12.00","0.00","16.2.B"
"419","0","4012090","4.20","14.56","12.00","0.00","16.2.B"
"420","0","4014010","4.20","14.56","12.00","0.00","16.2.B"
"421","0","4014021","4.20","15.78","0.00","0.00","16.2.B"
"422","0","4014021","4.20","15.78","0.00","0.00","16.2.B"
"423","0","4014029","4.20","14.56","0.00","0.00","16.2.B"
"424","0","4014029","4.20","14.56","0.00","0.00","16.2.B"
"425","0","4015010","4.20","14.56","12.00","0.00","16.2.B"
"426","0","4015021","4.20","15.78","0.00","0.00","16.2.B"
"427","0","4015021","4.20","15.78","0.00","0.00","16.2.B"
"428","0","4015029","4.20","14.56","0.00","0.00","16.2.B"
"429","0","4015029","4.20","14.56","0.00","0.00","16.2.B"
